subscriber_id,subscriber_type,registration_date,age,income,location,is_fraud,IMEI,device_switch_count,fraud_probability,predicted_fraud,classification
1011,prepaid,2023-07-28,27,38891,rural,0,484441492443135,1,0.125365,0,Legitimate
1012,postpaid,2023-07-03,67,55470,rural,0,228282323229364,0,0.064915,0,Legitimate
1013,prepaid,2023-11-21,47,50818,rural,0,480351980487068,2,0.114342,0,Legitimate
1014,prepaid,2023-09-02,38,26837,urban,1,810355214138878,1,0.600737,1,Fraud
1015,postpaid,2023-12-21,27,77396,urban,1,769388732196134,3,0.755886,1,Fraud
1016,prepaid,2023-10-05,62,60014,urban,0,511433370089795,1,0.108231,0,Legitimate
1017,postpaid,2023-06-02,26,85825,rural,0,441537716541359,5,0.034314,0,Legitimate
1018,postpaid,2023-10-11,23,72235,rural,1,462265108114678,2,0.930845,1,Fraud
1019,prepaid,2023-08-08,50,58082,rural,0,262104031838168,6,0.135214,0,Legitimate
1020,postpaid,2023-06-05,50,48688,urban,0,844600151274769,1,0.004588,0,Legitimate
