id,subscriber_type,registration_date,age,income,location,is_fraud,IMEI,device_switch_count
1,prepaid,2023-01-01,27,23560,rural,1,828156658889710,1
2,prepaid,2023-07-03,45,30212,urban,1,373805255882267,6
3,postpaid,2023-11-12,21,73174,urban,1,564064472285798,1
4,postpaid,2023-04-01,33,76662,suburban,0,179994828481920,3
5,postpaid,2023-08-27,20,16314,suburban,0,870678429989965,8
6,postpaid,2023-02-05,65,72101,suburban,1,953925911061283,8
7,postpaid,2023-08-27,70,41155,suburban,1,733621685736736,1
8,prepaid,2023-11-29,42,86246,rural,0,162998110905099,7
9,postpaid,2023-06-14,61,63835,rural,1,731878517113079,0
10,postpaid,2023-07-28,69,49671,suburban,1,227733455382588,8
