subscriber_id,subscriber_type,registration_date,age,income,location,is_fraud,IMEI,device_switch_count
1021,prepaid,2025-07-01,40,14515,urban,0,769367632016328,2
1022,prepaid,2024-10-02,42,12240,rural,0,895798687277434,6
1023,postpaid,2024-09-19,48,16517,rural,0,122362316658760,1
1024,prepaid,2025-08-09,44,47549,suburban,0,054668893734670,2
1025,postpaid,2025-04-28,46,9456,urban,0,699016272046537,1
1026,postpaid,2024-04-26,51,37886,rural,0,805310033092327,2
1027,postpaid,2025-04-09,39,51169,urban,0,419049663193149,3
1028,postpaid,2025-03-10,51,17593,suburban,0,067165726284987,2
1029,postpaid,2025-08-05,40,15595,suburban,0,996507527354549,1
1030,prepaid,2023-12-19,68,15157,rural,0,377701436349578,1
