subscriber_id,subscriber_type,registration_date,age,income,location,is_fraud,IMEI,device_switch_count,fraud_probability,predicted_fraud,classification
3011,postpaid,2023-11-25,43,19366,rural,0,537479953789450,0,0.003123,0,Legitimate
3012,postpaid,2025-05-05,38,9749,suburban,0,825539078949056,0,0.00268,0,Legitimate
3013,postpaid,2024-02-21,51,27531,suburban,0,828347734811798,0,0.021969,0,Legitimate
3014,prepaid,2025-02-18,39,47189,suburban,0,109668527233303,3,0.107825,0,Legitimate
3015,prepaid,2023-10-22,30,73576,urban,0,414538052736386,0,0.024034,0,Legitimate
3016,postpaid,2025-08-18,45,10795,suburban,1,890785453601819,2,0.846612,1,Fraud
3017,prepaid,2024-08-07,42,18546,urban,0,215012376360021,0,0.101726,0,Legitimate
3018,prepaid,2024-07-18,45,15812,urban,0,336521045653008,0,0.081705,0,Legitimate
3019,prepaid,2024-12-19,45,35008,rural,1,468552609455058,5,0.67721,1,Fraud
3020,prepaid,2025-01-29,19,6106,rural,1,983613356748826,2,0.941458,1,Fraud
